8/5 20:36:52.994  SPELL_AURA_REMOVED,0x000000000000166A,"Eiterpickel",0x518,0xF1300A2D2D000092,"Azeroth Execute Training Dummy",0xa28,997607,"Sweeping Strike block dummy",0x1,DEBUFF
8/5 20:36:53.032  SPELL_AURA_APPLIED_DOSE,0x0000000000001530,"Selessaa",0x518,0x0000000000001530,"Selessaa",0x518,81167,"Sniper",0x1,BUFF,2
8/5 20:36:53.246  SPELL_AURA_REMOVED,0x000000000000057D,"Wutface",0x518,0x000000000000057D,"Wutface",0x518,273921,"Holy Spirit",0x1,BUFF
8/5 20:36:53.285  SPELL_CAST_SUCCESS,0x000000000000166A,"Eiterpickel",0x518,0xF1300A2D2D000092,"Azeroth Execute Training Dummy",0xa28,36554,"Shadowstep",0x1
8/5 20:36:53.306  SPELL_AURA_APPLIED,0x000000000000166A,"Eiterpickel",0x518,0x000000000000166A,"Eiterpickel",0x518,36554,"Shadowstep",0x1,BUFF
8/5 20:36:53.306  SPELL_AURA_APPLIED,0x000000000000166A,"Eiterpickel",0x518,0x000000000000166A,"Eiterpickel",0x518,272821,"Shadow Infused",0x1,BUFF
8/5 20:36:53.404  SPELL_AURA_APPLIED,0x0000000000000B07,"Beo",0x518,0x0000000000000B07,"Beo",0x518,954689,"Primary Stat: Intellect",0x1,BUFF
8/5 20:36:53.404  SWING_DAMAGE,0x000000000000166A,"Eiterpickel",0x518,0xF1300A2D2D000092,"Azeroth Execute Training Dummy",0xa28,71,0,1,0,0,0,nil,1,nil
8/5 20:36:53.404  SPELL_DAMAGE,0x000000000000166A,"Eiterpickel",0x518,0xF1300A2D2D000092,"Azeroth Execute Training Dummy",0xa28,51460,"Necrosis",0x20,14,0,32,0,0,0,nil,nil,nil
8/5 20:36:53.404  SPELL_PERIODIC_HEAL,0x000000000000166A,"Eiterpickel",0x518,0x000000000000166A,"Eiterpickel",0x518,50475,"Blood Presence",0x1,3,3,0,nil
8/5 20:36:53.404  SPELL_DAMAGE,0x000000000000166A,"Eiterpickel",0x518,0xF1300A2D2D000092,"Azeroth Execute Training Dummy",0xa28,276075,"Fel Infused Attack",0x24,184,0,36,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_CAST_SUCCESS,0x000000000000BFFF,"Onanita",0x518,0x0000000000000000,nil,0x80000000,53385,"Divine Storm",0x1
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC256000022,"Dynamic Training Dummy",0xa28,53385,"Divine Storm",0x1,924,0,1,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC256000022,"Dynamic Training Dummy",0xa28,20424,"Seal of Command",0x2,409,0,2,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001E,"Dynamic Training Dummy",0xa28,20424,"Seal of Command",0x2,414,0,2,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,20424,"Seal of Command",0x2,440,0,2,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC256000022,"Dynamic Training Dummy",0xa28,200818,"Consecrated Holy Weapon",0x2,432,0,2,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_PERIODIC_HEAL,0x000000000000BFFF,"Onanita",0x518,0x000000000000BFFF,"Onanita",0x518,54172,"Divine Storm",0x2,231,231,0,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,53385,"Divine Storm",0x1,2017,0,1,0,0,0,1,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,20424,"Seal of Command",0x2,898,0,2,0,0,0,1,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,20424,"Seal of Command",0x2,402,0,2,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,20424,"Seal of Command",0x2,436,0,2,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,200818,"Consecrated Holy Weapon",0x2,437,0,2,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_PERIODIC_HEAL,0x000000000000BFFF,"Onanita",0x518,0x000000000000BFFF,"Onanita",0x518,54172,"Divine Storm",0x2,504,504,0,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,53385,"Divine Storm",0x1,622,0,1,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,20424,"Seal of Command",0x2,409,0,2,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,20424,"Seal of Command",0x2,798,0,2,0,0,0,1,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,20424,"Seal of Command",0x2,442,0,2,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,200818,"Consecrated Holy Weapon",0x2,876,0,2,0,0,0,1,nil,nil
8/5 20:36:53.443  SPELL_PERIODIC_HEAL,0x000000000000BFFF,"Onanita",0x518,0x000000000000BFFF,"Onanita",0x518,54172,"Divine Storm",0x2,155,155,0,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001D,"Dynamic Training Dummy",0xa28,53385,"Divine Storm",0x1,659,0,1,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001D,"Dynamic Training Dummy",0xa28,20424,"Seal of Command",0x2,416,0,2,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001E,"Dynamic Training Dummy",0xa28,20424,"Seal of Command",0x2,858,0,2,0,0,0,1,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,20424,"Seal of Command",0x2,449,0,2,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001D,"Dynamic Training Dummy",0xa28,200818,"Consecrated Holy Weapon",0x2,437,0,2,0,0,0,nil,nil,nil
8/5 20:36:53.443  SPELL_PERIODIC_HEAL,0x000000000000BFFF,"Onanita",0x518,0x000000000000BFFF,"Onanita",0x518,54172,"Divine Storm",0x2,164,164,0,nil
8/5 20:36:53.443  SPELL_AURA_APPLIED,0x000000000000BFFF,"Onanita",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,61840,"Righteous Vengeance",0x2,DEBUFF
8/5 20:36:53.443  SPELL_AURA_REFRESH,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,61840,"Righteous Vengeance",0x2,DEBUFF
8/5 20:36:53.443  SPELL_AURA_APPLIED_DOSE,0x000000000000BFFF,"Onanita",0x518,0x000000000000BFFF,"Onanita",0x518,20050,"Vengeance",0x1,BUFF,3
8/5 20:36:53.944  SPELL_PERIODIC_HEAL,0x000000000000C35E,"Insomnia",0x518,0x000000000000C35E,"Insomnia",0x518,28189,"Fel Armor",0x20,116,46,0,nil
8/5 20:36:54.004  SPELL_AURA_REMOVED,0xF140083AD90010A5,"Pipyal",0x1118,0x000000000000057D,"Wutface",0x518,11767,"Blood Pact",0x20,BUFF
8/5 20:36:54.004  SPELL_AURA_REMOVED,0xF140083AD90010A5,"Pipyal",0x1118,0xF1309A4991002FC1,"Treasure Keeper",0x1118,11767,"Blood Pact",0x20,BUFF
8/5 20:36:54.004  SPELL_AURA_REMOVED,0x000000000000057D,"Wutface",0x518,0xF140083AD90010A5,"Pipyal",0x1118,19746,"Concentration Aura",0x2,BUFF
8/5 20:36:54.045  SPELL_AURA_APPLIED_DOSE,0x0000000000001530,"Selessaa",0x518,0x0000000000001530,"Selessaa",0x518,81167,"Sniper",0x1,BUFF,3
8/5 20:36:54.103  SPELL_AURA_REMOVED,0x0000000000008507,"Boomo",0x518,0x0000000000008507,"Boomo",0x518,283274,"Biding Time",0x1,BUFF
8/5 20:36:54.103  SPELL_AURA_APPLIED,0x0000000000008507,"Boomo",0x518,0x0000000000008507,"Boomo",0x518,283275,"Impeccable Timing",0x1,BUFF
8/5 20:36:54.143  SPELL_PERIODIC_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,61840,"Righteous Vengeance",0x2,130,0,2,0,0,0,nil,nil,nil
8/5 20:36:54.366  SWING_DAMAGE,0x000000000000166A,"Eiterpickel",0x518,0xF1300A2D2D000092,"Azeroth Execute Training Dummy",0xa28,55,0,1,0,0,0,nil,1,nil
8/5 20:36:54.366  SPELL_DAMAGE,0x000000000000166A,"Eiterpickel",0x518,0xF1300A2D2D000092,"Azeroth Execute Training Dummy",0xa28,51460,"Necrosis",0x20,11,0,32,0,0,0,nil,nil,nil
8/5 20:36:54.366  SPELL_PERIODIC_HEAL,0x000000000000166A,"Eiterpickel",0x518,0x000000000000166A,"Eiterpickel",0x518,50475,"Blood Presence",0x1,3,3,0,nil
8/5 20:36:54.366  SPELL_DAMAGE,0x000000000000166A,"Eiterpickel",0x518,0xF1300A2D2D000092,"Azeroth Execute Training Dummy",0xa28,276075,"Fel Infused Attack",0x24,181,0,36,0,0,0,nil,nil,nil
8/5 20:36:54.713  SPELL_AURA_REMOVED,0x000000000000057D,"Wutface",0x518,0x000000000000057D,"Wutface",0x518,968760,"Arcane Artillery",0x1,BUFF
8/5 20:36:54.755  SPELL_AURA_REMOVED,0x0000000000013583,"Ciphara",0x518,0x0000000000013583,"Ciphara",0x518,75446,"Ferocious Inspiration",0x1,BUFF
8/5 20:36:54.880  SPELL_PERIODIC_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001D,"Dynamic Training Dummy",0xa28,61840,"Righteous Vengeance",0x2,64,0,2,0,0,0,nil,nil,nil
8/5 20:36:54.940  SPELL_AURA_APPLIED,0xF1400799E60010B6,"Nightmare Whelp",0x1118,0xF1400799E60010B6,"Nightmare Whelp",0x1118,19579,"Spirit Bond",0x8,BUFF
8/5 20:36:54.940  SPELL_AURA_APPLIED,0x000000000001366B,"Peaceblossom",0x528,0xF1400799E60010B6,"Nightmare Whelp",0x1118,5234,"Mark of the Wild",0x8,BUFF
8/5 20:36:55.004  SPELL_AURA_APPLIED,0x000000000000E88F,"Wifesamilf",0x518,0x000000000000E88F,"Wifesamilf",0x518,954690,"Path of Healing",0x1,BUFF
8/5 20:36:55.046  SPELL_AURA_APPLIED_DOSE,0x0000000000001530,"Selessaa",0x518,0x0000000000001530,"Selessaa",0x518,81167,"Sniper",0x1,BUFF,4
8/5 20:36:55.149  SPELL_AURA_REMOVED,0x000000000000E88F,"Wifesamilf",0x518,0x000000000000E88F,"Wifesamilf",0x518,954690,"Path of Healing",0x1,BUFF
8/5 20:36:55.187  SPELL_CAST_SUCCESS,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001D,"Dynamic Training Dummy",0xa28,35395,"Crusader Strike",0x1
8/5 20:36:55.187  SPELL_DAMAGE,0x000000000000BFFF,"Onanita",0x518,0xF1300EC25600001D,"Dynamic Training Dummy",0xa28,35395,"Crusader Strike",0x1,380,0,1,0,0,0,nil,nil,nil
