8/6 21:34:18.901  SPELL_AURA_APPLIED,0x0000000000000ADB,"Tianyan",0x518,0x0000000000000ADB,"Tianyan",0x518,954687,"Primary Stat: Strength",0x1,BUFF
8/6 21:34:18.937  SPELL_CAST_START,0x00000000000059BA,"Mercykill",0x518,0x0000000000000000,nil,0x80000000,281843,"Fire Storm",0x4
8/6 21:34:18.956  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001D,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:18.991  SPELL_CAST_SUCCESS,0x0000000000005474,"Siberianwolf",0x518,0xF1300A2D2D00009D,"Azeroth Execute Training Dummy",0x10a28,30022,"Devastate",0x1
8/6 21:34:18.991  SPELL_DAMAGE,0x0000000000005474,"Siberianwolf",0x518,0xF1300A2D2D00009D,"Azeroth Execute Training Dummy",0x10a28,30022,"Devastate",0x1,486,0,1,0,0,0,nil,nil,nil
8/6 21:34:18.991  SPELL_PERIODIC_HEAL,0x0000000000005474,"Siberianwolf",0x518,0x0000000000005474,"Siberianwolf",0x518,50475,"Blood Presence",0x1,22,22,0,nil
8/6 21:34:18.991  SPELL_DAMAGE,0x0000000000005474,"Siberianwolf",0x518,0xF1300A2D2D00009D,"Azeroth Execute Training Dummy",0x10a28,276075,"Fel Infused Attack",0x24,174,0,36,0,0,0,nil,nil,nil
8/6 21:34:18.991  SPELL_AURA_APPLIED_DOSE,0x0000000000005474,"Siberianwolf",0x518,0xF1300A2D2D00009D,"Azeroth Execute Training Dummy",0x10a28,58567,"Sunder Armor",0x1,DEBUFF,5
8/6 21:34:18.991  SPELL_AURA_APPLIED,0x000000000001099E,"Aieran",0x518,0x000000000001099E,"Aieran",0x518,129246,"Twin Flurry",0x1,BUFF
8/6 21:34:19.049  SPELL_PERIODIC_DAMAGE,0x000000000000020D,"Altaris",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,276916,"Medicinal Sting",0x8,462,0,8,0,0,0,1,nil,nil
8/6 21:34:19.049  SPELL_AURA_REFRESH,0x000000000000020D,"Altaris",0x518,0x000000000000020D,"Altaris",0x518,34505,"Expose Weakness",0x40,BUFF
8/6 21:34:19.088  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000022,"Dynamic Training Dummy",0xa28,281850,"Fire Storm",0x4,515,0,4,0,0,0,nil,nil,nil
8/6 21:34:19.088  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,281850,"Fire Storm",0x4,515,0,4,0,0,0,nil,nil,nil
8/6 21:34:19.088  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,281850,"Fire Storm",0x4,515,0,4,0,0,0,nil,nil,nil
8/6 21:34:19.088  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,281850,"Fire Storm",0x4,984,0,4,0,0,0,1,nil,nil
8/6 21:34:19.088  SPELL_ENERGIZE,0x00000000000059BA,"Mercykill",0x518,0x00000000000059BA,"Mercykill",0x518,53506,"Moonkin Form",0x1,140,0
8/6 21:34:19.088  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001E,"Dynamic Training Dummy",0xa28,281850,"Fire Storm",0x4,515,0,4,0,0,0,nil,nil,nil
8/6 21:34:19.088  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001D,"Dynamic Training Dummy",0xa28,281850,"Fire Storm",0x4,515,0,4,0,0,0,nil,nil,nil
8/6 21:34:19.106  SPELL_AURA_APPLIED,0x0000000000003521,"Tyros",0x518,0x0000000000003BB8,"Acesx",0x518,818059,"Aura of Experience",0x0,BUFF
8/6 21:34:19.106  SPELL_AURA_APPLIED,0x0000000000003BB8,"Acesx",0x518,0x0000000000003BB8,"Acesx",0x518,818066,"Aura of Experience",0x0,BUFF
8/6 21:34:19.106  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001E,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:19.106  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:19.106  SPELL_AURA_REFRESH,0x00000000000059BA,"Mercykill",0x518,0x00000000000059BA,"Mercykill",0x518,16246,"Elemental Clearcasting",0x40,BUFF
8/6 21:34:19.106  SPELL_PERIODIC_HEAL,0x000000000000020D,"Altaris",0x518,0x000000000000020D,"Altaris",0x518,276920,"Grove Medicine",0x8,111,111,0,nil
8/6 21:34:19.106  SPELL_PERIODIC_HEAL,0x000000000000020D,"Altaris",0x518,0x000000000000020D,"Altaris",0x518,276943,"Medicinal Sting",0x8,231,231,0,nil
8/6 21:34:19.106  SPELL_AURA_REFRESH,0x000000000000020D,"Altaris",0x518,0x000000000000020D,"Altaris",0x518,276920,"Grove Medicine",0x8,BUFF
8/6 21:34:19.142  SPELL_AURA_REFRESH,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,12654,"Ignite",0x4,DEBUFF
8/6 21:34:19.142  SPELL_AURA_APPLIED,0x0000000000003BB8,"Acesx",0x518,0x0000000000003521,"Tyros",0x518,34123,"Tree of Life",0x1,BUFF
8/6 21:34:19.198  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,335,0,4,0,0,0,nil,nil,nil
8/6 21:34:19.198  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000022,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,335,0,4,0,0,0,nil,nil,nil
8/6 21:34:19.198  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
