8/6 19:45:40.923  SPELL_AURA_REMOVED,0x00000000000058E4,"Elric",0x511,0x00000000000058E4,"Elric",0x511,9931032,"PvE Mode",0x1,BUFF
8/6 19:45:41.055  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x00000000000058E4,"Elric",0x511,993957,"Keeper's Scroll: Eonar",0x1,BUFF
8/6 19:45:41.055  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x00000000000058E4,"Elric",0x511,993955,"Keeper's Scroll: Khaz'goroth",0x1,BUFF
8/6 19:45:41.055  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x00000000000058E4,"Elric",0x511,993943,"Keeper's Scroll: Norgannon",0x1,BUFF
8/6 19:45:41.055  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x00000000000058E4,"Elric",0x511,993959,"Keeper's Scroll: Aggramar",0x1,BUFF
8/6 19:45:41.055  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0x00000000000058E4,"Elric",0x511,993961,"Keeper's Scroll: Golganneth",0x1,BUFF
8/6 19:45:41.055  SPELL_CAST_START,0xF1300010CC000014,"Scarlet Wizard",0xa48,0x0000000000000000,nil,0x80000000,2101212,"Fire Ward",0x4
8/6 19:45:41.055  SPELL_CAST_START,0xF1300010CC000013,"Scarlet Wizard",0xa48,0x0000000000000000,nil,0x80000000,2101212,"Fire Ward",0x4
8/6 19:45:41.055  SPELL_CAST_START,0xF1300010CC000017,"Scarlet Wizard",0xa48,0x0000000000000000,nil,0x80000000,2101212,"Fire Ward",0x4
8/6 19:45:41.055  SPELL_CAST_START,0xF1300010CC000024,"Scarlet Wizard",0xa48,0x0000000000000000,nil,0x80000000,2101212,"Fire Ward",0x4
8/6 19:45:41.677  SPELL_AURA_APPLIED,0x0000000000002CE5,"Virginity",0x528,0xF13000ABF600003B,"Lootbot 3000",0x1111,853648,"Swift Retribution",0x8,BUFF
8/6 19:45:41.677  SPELL_AURA_APPLIED,0x00000000000058E4,"Elric",0x511,0xF13000ABF600003B,"Lootbot 3000",0x1111,818061,"Aura of Reputation",0x0,BUFF
8/6 19:45:41.677  SPELL_CAST_START,0xF1300010CC000014,"Scarlet Wizard",0xa48,0x0000000000000000,nil,0x80000000,2101212,"Fire Ward",0x4
